Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Flavor (product.metafields.shopify.flavor),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
تقسيمات-عساف-النسائية,تقسيمات عساف النسائية,"<p><img src=""https://cdn.youcan.shop/stores/03b0f4405a9506f926ef4f8ecabbce7a/others/gXtVibM730HijkQpweR11jrIXqrT5D3FglXLKYvQ.webp"" style=""width: 300px;"" class=""fr-fic fr-dib"" name=""stores/03b0f4405a9506f926ef4f8ecabbce7a/others/gXtVibM730HijkQpweR11jrIXqrT5D3FglXLKYvQ.webp""></p><p><img src=""https://cdn.youcan.shop/stores/03b0f4405a9506f926ef4f8ecabbce7a/others/ZCDfayT2rhNK3PqyrtWBX7v9Ukp6JnlbIw7oH6lX.webp"" style=""width: 300px;"" class=""fr-fic fr-dib"" name=""stores/03b0f4405a9506f926ef4f8ecabbce7a/others/ZCDfayT2rhNK3PqyrtWBX7v9Ukp6JnlbIw7oH6lX.webp""></p><p><img src=""https://cdn.youcan.shop/stores/03b0f4405a9506f926ef4f8ecabbce7a/others/0X1TOAbupZrbKbHLWp04cLurRYNOFVfJYbShiyUq.png"" style=""width: 300px;"" class=""fr-fic fr-dib"" name=""stores/03b0f4405a9506f926ef4f8ecabbce7a/others/0X1TOAbupZrbKbHLWp04cLurRYNOFVfJYbShiyUq.png""></p><p><br></p><p><img src=""https://cdn.youcan.shop/stores/03b0f4405a9506f926ef4f8ecabbce7a/others/IimGBPc3QGL4smUn8fRxi5OawkiA2gXJWfUZAx3P.png"" style=""width: 300px;"" class=""fr-fic fr-dib"" name=""stores/03b0f4405a9506f926ef4f8ecabbce7a/others/IimGBPc3QGL4smUn8fRxi5OawkiA2gXJWfUZAx3P.png""></p><p><br></p>",perfume.corner,Health & Beauty > Personal Care > Cosmetics > Perfumes & Fragrances,Perfume,الأكثر طلبا - Best Seller,true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,3900.00,,true,false,,,,,,https://assets.lightfunnels.com/account-69729/images_library/dc6a90ee-a529-4767-bf7c-497b6bd7a18b.ijqdDCGOwHiV7FAiU09LA.webp,1,تقسيمات عساف النسائية,false,تقسيمات عساف النسائية,تقسيمات عساف النسائية,,https://assets.lightfunnels.com/account-69729/images_library/dc6a90ee-a529-4767-bf7c-497b6bd7a18b.ijqdDCGOwHiV7FAiU09LA.webp,kg,,,active
aura-by-assaf-150ml-بديل-hacivat-nishane,Aura by Assaf 150ML بديل Hacivat Nishane,"<p><img src=""https://cdn.youcan.shop/stores/03b0f4405a9506f926ef4f8ecabbce7a/others/d0HveKaQZlvGECEAQmRKGaFs6djkpFRHDp3INuZK.png"" style=""width: 300px;"" class=""fr-fic fr-dib"" name=""stores/03b0f4405a9506f926ef4f8ecabbce7a/others/d0HveKaQZlvGECEAQmRKGaFs6djkpFRHDp3INuZK.png""></p><p><br></p><p><img src=""https://cdn.youcan.shop/stores/03b0f4405a9506f926ef4f8ecabbce7a/others/0YbR984iezWrT6J1bdG028KY2aLqwF33HC7Wxfi7.png"" style=""width: 300px;"" class=""fr-fic fr-dib"" name=""stores/03b0f4405a9506f926ef4f8ecabbce7a/others/0YbR984iezWrT6J1bdG028KY2aLqwF33HC7Wxfi7.png""></p>",perfume.corner,Health & Beauty > Personal Care > Cosmetics > Perfumes & Fragrances,Perfume,الأكثر طلبا - Best Seller,true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,10900.00,12500.00,true,false,,,,,,https://assets.lightfunnels.com/account-69729/images_library/b29c888b-b258-4a49-9010-a4993e135cd4.webp,1,Aura by Assaf 150ML بديل Hacivat Nishane,false,Aura by Assaf 150ML بديل Hacivat Nishane,Aura by Assaf 150ML بديل Hacivat Nishane,,https://assets.lightfunnels.com/account-69729/images_library/b29c888b-b258-4a49-9010-a4993e135cd4.webp,kg,,,active
aura-by-assaf-150ml-بديل-hacivat-nishane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://assets.lightfunnels.com/account-69729/images_library/f6920772-f953-450f-8b93-6d48e3d6c5c6.webp,2,Aura by Assaf 150ML بديل Hacivat Nishane,,,,,,,,,
aura-by-assaf-150ml-بديل-hacivat-nishane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://assets.lightfunnels.com/account-69729/images_library/025bc195-cbe7-4a3f-96c5-f074bddc1234.webp,3,Aura by Assaf 150ML بديل Hacivat Nishane,,,,,,,,,
wild-colt-boss-assaf-200ml,Wild Colt Boss Assaf 200ML,"<p><img src=""https://cdn.youcan.shop/stores/03b0f4405a9506f926ef4f8ecabbce7a/others/kkzlvC3ewaZkO0ZizQCMPqbMGPfA9J4Lnv15vLl8.jpg"" style=""width: 300px;"" class=""fr-fic fr-dib"" name=""stores/03b0f4405a9506f926ef4f8ecabbce7a/others/kkzlvC3ewaZkO0ZizQCMPqbMGPfA9J4Lnv15vLl8.jpg""></p><p><br></p><p><img src=""https://cdn.youcan.shop/stores/03b0f4405a9506f926ef4f8ecabbce7a/others/hIEzo63YI6QBnFhEAyP2KbXiG5gn9DDZKWRGdQgn.jpg"" style=""width: 300px;"" class=""fr-fic fr-dib"" name=""stores/03b0f4405a9506f926ef4f8ecabbce7a/others/hIEzo63YI6QBnFhEAyP2KbXiG5gn9DDZKWRGdQgn.jpg""></p>",perfume.corner,Health & Beauty > Personal Care > Cosmetics > Perfumes & Fragrances,Perfume,الأكثر طلبا - Best Seller,true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,9900.00,11900.00,true,false,,,,,,https://assets.lightfunnels.com/account-69729/images_library/df51d99a-6956-4227-acaa-aaa555c3c4c3.webp,1,Wild Colt Boss Assaf 200ML,false,Wild Colt Boss Assaf 200ML,Wild Colt Boss Assaf 200ML,,https://assets.lightfunnels.com/account-69729/images_library/df51d99a-6956-4227-acaa-aaa555c3c4c3.webp,kg,,,active
strike-black-by-assaf-بديل-absolu-aventus-creed,Strike Black by Assaf بديل Absolu Aventus Creed,"<p><br></p><p><br></p><p><img src=""https://cdn.youcan.shop/stores/03b0f4405a9506f926ef4f8ecabbce7a/others/gKP7EwIoW2zLlRCp0nUIwB4z5iGnot6fSZh5Uloq.png"" style=""width: 300px;"" class=""fr-fic fr-dib"" name=""stores/03b0f4405a9506f926ef4f8ecabbce7a/others/gKP7EwIoW2zLlRCp0nUIwB4z5iGnot6fSZh5Uloq.png""></p><p><br></p><p><img src=""https://cdn.youcan.shop/stores/03b0f4405a9506f926ef4f8ecabbce7a/others/2tHqBuQtyzW2s0jmLQqEhgHAGIYX2BxSxLBctn5a.png"" style=""width: 300px;"" class=""fr-fic fr-dib"" name=""stores/03b0f4405a9506f926ef4f8ecabbce7a/others/2tHqBuQtyzW2s0jmLQqEhgHAGIYX2BxSxLBctn5a.png""></p>",perfume.corner,Health & Beauty > Personal Care > Cosmetics > Perfumes & Fragrances,Perfume,الأكثر طلبا - Best Seller,true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,10500.00,12500.00,true,false,,,,,,https://assets.lightfunnels.com/account-69729/images_library/bada0397-1d2d-481b-b28f-950e4b07f1f5.png,1,Strike Black by Assaf بديل Absolu Aventus Creed,false,Strike Black by Assaf بديل Absolu Aventus Creed,Strike Black by Assaf بديل Absolu Aventus Creed,,https://assets.lightfunnels.com/account-69729/images_library/bada0397-1d2d-481b-b28f-950e4b07f1f5.png,kg,,,active
strike-black-by-assaf-بديل-absolu-aventus-creed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://assets.lightfunnels.com/account-69729/images_library/68707eee-0689-4fa2-b5d7-f36c9344c42c.png,2,Strike Black by Assaf بديل Absolu Aventus Creed,,,,,,,,,
strike-black-by-assaf-بديل-absolu-aventus-creed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://assets.lightfunnels.com/account-69729/images_library/1b95920c-b01d-451f-a70e-d0347de4762c.jpg,3,Strike Black by Assaf بديل Absolu Aventus Creed,,,,,,,,,
risk-comete-assaf-150ml,Risk Comete ASSAF 150ML,"<p><img src=""https://cdn.youcan.shop/stores/03b0f4405a9506f926ef4f8ecabbce7a/others/oQ7mUfNlCRYwvgKx4Yp3ZxkUbOq6MTHKWKyxjuVX.png"" style=""width: 300px;"" class=""fr-fic fr-dib"" data-name=""stores/03b0f4405a9506f926ef4f8ecabbce7a/others/oQ7mUfNlCRYwvgKx4Yp3ZxkUbOq6MTHKWKyxjuVX.png""></p><p><br></p><p><img src=""https://cdn.youcan.shop/stores/03b0f4405a9506f926ef4f8ecabbce7a/others/mjZUyAES3tTLO5mcuM088B1iP3oNhp4disRsqSRI.png"" style=""width: 300px;"" class=""fr-fic fr-dib"" data-name=""stores/03b0f4405a9506f926ef4f8ecabbce7a/others/mjZUyAES3tTLO5mcuM088B1iP3oNhp4disRsqSRI.png""></p>",perfume.corner,Health & Beauty > Personal Care > Cosmetics > Perfumes & Fragrances,Perfume,الأكثر طلبا - Best Seller,true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,10500.00,12500.00,true,false,,,,,,https://assets.lightfunnels.com/account-69729/images_library/7b26c954-9cff-4e50-88d9-565d84c0e475.webp,1,Risk Comete ASSAF 150ML,false,Risk Comete ASSAF 150ML,Risk Comete ASSAF 150ML,,https://assets.lightfunnels.com/account-69729/images_library/7b26c954-9cff-4e50-88d9-565d84c0e475.webp,kg,,,active
risk-comete-assaf-150ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://assets.lightfunnels.com/account-69729/images_library/a8a2c1ec-df66-4a66-adda-434ef1fd0ec4.png,2,Risk Comete ASSAF 150ML,,,,,,,,,
